time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-03 00:00:00+00:00,2,2,20,5
2023-12-04 00:00:00+00:00,10,7,35,11
2023-12-05 00:00:00+00:00,51,11,102,14
2023-12-06 00:00:00+00:00,31,16,111,17
2023-12-07 00:00:00+00:00,12,10,195,18
2023-12-08 00:00:00+00:00,1,1,48,12
2023-12-09 00:00:00+00:00,4,4,35,12
2023-12-10 00:00:00+00:00,2,2,54,5
2023-12-11 00:00:00+00:00,8,7,76,10
2023-12-12 00:00:00+00:00,18,11,110,17
2023-12-13 00:00:00+00:00,18,14,106,14
2023-12-14 00:00:00+00:00,15,8,143,17
2023-12-15 00:00:00+00:00,7,6,41,13
2023-12-16 00:00:00+00:00,13,5,29,6
2023-12-17 00:00:00+00:00,3,3,12,3
2023-12-18 00:00:00+00:00,14,10,155,14
2023-12-19 00:00:00+00:00,18,9,103,16
2023-12-20 00:00:00+00:00,10,6,60,8
2023-12-21 00:00:00+00:00,12,10,85,15
2023-12-22 00:00:00+00:00,4,4,45,10
2023-12-23 00:00:00+00:00,5,4,14,6
2023-12-24 00:00:00+00:00,2,2,7,5
2023-12-25 00:00:00+00:00,4,4,15,2
2023-12-26 00:00:00+00:00,12,3,38,7
2023-12-27 00:00:00+00:00,6,5,22,10
2023-12-28 00:00:00+00:00,11,7,34,4
2023-12-29 00:00:00+00:00,7,2,41,4
2023-12-30 00:00:00+00:00,12,6,59,5
2023-12-31 00:00:00+00:00,3,3,12,4
2024-01-01 00:00:00+00:00,8,6,18,5
2024-01-02 00:00:00+00:00,11,5,19,10
2024-01-03 00:00:00+00:00,8,6,29,12
2024-01-04 00:00:00+00:00,10,4,78,11
2024-01-05 00:00:00+00:00,5,5,73,7
2024-01-06 00:00:00+00:00,10,2,20,3
2024-01-07 00:00:00+00:00,19,4,10,3
2024-01-08 00:00:00+00:00,9,7,54,14
2024-01-09 00:00:00+00:00,30,12,187,17
2024-01-10 00:00:00+00:00,12,10,42,6
2024-01-11 00:00:00+00:00,20,11,94,7
2024-01-12 00:00:00+00:00,16,10,50,13
2024-01-13 00:00:00+00:00,4,3,20,6
2024-01-14 00:00:00+00:00,1,1,15,3
2024-01-15 00:00:00+00:00,7,7,43,9
2024-01-16 00:00:00+00:00,14,5,70,14
2024-01-17 00:00:00+00:00,10,7,80,13
2024-01-18 00:00:00+00:00,11,6,42,16
2024-01-19 00:00:00+00:00,3,2,55,12
2024-01-20 00:00:00+00:00,2,2,5,2
2024-01-21 00:00:00+00:00,4,2,49,4
2024-01-22 00:00:00+00:00,8,4,37,11
2024-01-23 00:00:00+00:00,6,5,79,15
2024-01-24 00:00:00+00:00,10,7,109,20
2024-01-25 00:00:00+00:00,28,10,134,19
2024-01-26 00:00:00+00:00,22,11,178,17
2024-01-27 00:00:00+00:00,5,5,51,7
2024-01-28 00:00:00+00:00,12,6,9,4
2024-01-29 00:00:00+00:00,38,17,119,19
2024-01-30 00:00:00+00:00,12,9,97,16
